freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,predictor_set,algorithm,calibration_method,training_years,validation_year,feature_step,feature_groups_included,n,events,non_events,roc_auc,ci_lower,ci_upper,delta_from_prior_step,table3_comparator_key,table3_roc_auc,consistency_status,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,1,team/collaboration + document/text structure,2074,529,1545,0.6326536605061759,0.6051314991389806,0.6600747166676774,,B|reduced|2022|roc_auc,0.7207321624118291,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,2,step 1 + leakage-safe author prominence,2074,529,1545,0.6225221918378083,0.5943297924971301,0.6501925452486563,-0.01013146866836756,B|reduced|2022|roc_auc,0.7207321624118291,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,3,step 2 + title/abstract embedding PCs,2074,529,1545,0.6847272438073913,0.6566096211813688,0.7134076425632518,0.062205051969582925,B|reduced|2022|roc_auc,0.7207321624118291,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,4,step 3 + text-derived study-design flags,2074,529,1545,0.6861832486036425,0.6601467645732122,0.7150272633409264,0.0014560047962512979,B|reduced|2022|roc_auc,0.7207321624118291,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,5,step 4 + reference count,2074,529,1545,0.7207321624118291,0.6948358165716707,0.7457890301401312,0.03454891380818659,B|reduced|2022|roc_auc,0.7207321624118291,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,1,team/collaboration + document/text structure,2074,211,1863,0.7117399699307797,0.6783982437672047,0.7444194698970085,,A|reduced|2022|roc_auc,0.799158214468332,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,2,step 1 + leakage-safe author prominence,2074,211,1863,0.7039873515936432,0.6692678524250677,0.7383518471860062,-0.007752618337136474,A|reduced|2022|roc_auc,0.799158214468332,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,3,step 2 + title/abstract embedding PCs,2074,211,1863,0.7558338611982407,0.7218638404793832,0.7882751195733118,0.05184650960459747,A|reduced|2022|roc_auc,0.799158214468332,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,4,step 3 + text-derived study-design flags,2074,211,1863,0.7550910344371434,0.7212424476947287,0.7878961602569976,-0.0007428267610972705,A|reduced|2022|roc_auc,0.799158214468332,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,5,step 4 + reference count,2074,211,1863,0.799158214468332,0.7675018812663156,0.8272784432651202,0.04406718003118859,A|reduced|2022|roc_auc,0.799158214468332,PASS,final step reuses the exact locked reduced-model predictions reported in rev1_model_performance.csv
