freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,analysis_type,model_id,predictor_set,training_population,validation_year,document_type,abstract_status,n,denominator_n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,test_name,test_statistic,p_value,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2022,Original article,present,1195,1786,,,,proportion,0.6690929451287794,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2022,Original article,absent,591,1786,,,,proportion,0.33090705487122063,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2022,Review,present,176,288,,,,proportion,0.6111111111111112,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2022,Review,absent,112,288,,,,proportion,0.3888888888888889,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2023,Original article,present,1352,1986,,,,proportion,0.6807653575025177,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2023,Original article,absent,634,1986,,,,proportion,0.3192346424974824,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2023,Review,present,216,314,,,,proportion,0.6878980891719745,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,availability,,,,2023,Review,absent,98,314,,,,proportion,0.31210191082802546,,,0,0,,,,machine-readable OpenAlex abstract
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,B,reduced,P_train,2022,All,present,1371,1371,377.0,994.0,0.274981765134938,roc_auc,0.717319834124108,0.6841396159201987,0.745365512723533,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,B,reduced,P_train,2022,All,absent,703,703,152.0,551.0,0.21621621621621623,roc_auc,0.719218645524883,0.6745943201672079,0.766424118222649,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,B,reduced,P_train,2023,All,present,1568,1568,411.0,1157.0,0.26211734693877553,roc_auc,0.7091910659121353,0.6784972184427478,0.7377947064875713,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,B,reduced,P_train,2023,All,absent,732,732,161.0,571.0,0.21994535519125682,roc_auc,0.6941401703451502,0.6515602855725624,0.7378682430798509,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2022,All,present,1371,1371,377.0,994.0,0.274981765134938,roc_auc,0.7189129471790958,0.6856886877570328,0.7489797242176817,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2022,All,present,1371,1371,377.0,994.0,0.274981765134938,pr_auc,0.49612711466058823,0.440975187030355,0.5481793897707582,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2022,All,present,1371,1371,377.0,994.0,0.274981765134938,brier_score,0.1757802549433849,0.165672299025615,0.18608550514775657,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2022,All,present,1371,1371,377.0,994.0,0.274981765134938,calibration_slope,1.2373761064661037,1.0069642337413627,1.4650517008922308,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2022,All,present,1371,1371,377.0,994.0,0.274981765134938,calibration_in_the_large,-0.07629727996416397,-0.20152150244956896,0.04580501848328384,1000,1000,,,,model fitted only among abstract-present training records
