freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,analysis_type,grouping_variable,group_level,document_type,publication_year,journal,model_id,variable,statistic,n,denominator_n,events,non_events,estimate,q1,q3,rate,test_name,test_statistic,p_value,effect_term,effect_estimate,ci_lower,ci_upper,tie_method,estimable,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_document_type,document_type,Original article,Original article,,,,cited_by_count,median_iqr,11770,,,,11.0,5.0,21.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_document_type,document_type,Review,Review,,,,cited_by_count,median_iqr,1529,,,,18.0,9.0,35.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_document_type_test,document_type,overall_test,,,,,cited_by_count,test,13299,,,,,,,,Mann-Whitney U,6560075.5,7.523191865339478e-67,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year,publication_year,2018,,2018,,,cited_by_count,median_iqr,2090,,,,19.0,10.0,34.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year,publication_year,2019,,2019,,,cited_by_count,median_iqr,2073,,,,17.0,9.0,31.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year,publication_year,2020,,2020,,,cited_by_count,median_iqr,2515,,,,13.0,7.0,23.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year,publication_year,2021,,2021,,,cited_by_count,median_iqr,2247,,,,11.0,5.0,19.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year,publication_year,2022,,2022,,,cited_by_count,median_iqr,2074,,,,9.0,4.0,16.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year,publication_year,2023,,2023,,,cited_by_count,median_iqr,2300,,,,6.0,3.0,11.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,citation_by_publication_year_test,publication_year,overall_test,,,,,cited_by_count,test,13299,,,,,,,,Kruskal-Wallis,1829.820625502069,0.0,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,reference_count_by_document_type,document_type,Original article,Original article,,,,n_references,median_iqr,11770,,,,29.0,23.0,38.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,reference_count_by_document_type,document_type,Review,Review,,,,n_references,median_iqr,1529,,,,44.0,32.0,62.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,reference_count_by_document_type_test,document_type,overall_test,,,,,n_references,test,13299,,,,,,,,Mann-Whitney U,4756615.5,2.7332360467268376e-198,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_availability_by_document_type,document_type,Original article,Original article,,,,has_abstract,n/N,7891,11770.0,,,7891.0,,,0.6704333050127442,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_length_by_document_type,document_type,Original article,Original article,,,,abstract_n_words,median_iqr,7891,,,,277.0,246.0,310.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_availability_by_document_type,document_type,Review,Review,,,,has_abstract,n/N,944,1529.0,,,944.0,,,0.6173969914977109,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_length_by_document_type,document_type,Review,Review,,,,abstract_n_words,median_iqr,944,,,,252.0,214.0,298.0,,,,,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_availability_by_document_type_test,document_type,overall_test,,,,,has_abstract,test,13299,,,,,,,,chi-square,16.832414328374956,4.082991406683096e-05,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_length_by_document_type_test,document_type,overall_test,,,,,abstract_n_words,test,8835,,,,,,,,Mann-Whitney U,4489928.0,4.912759473317693e-25,,,,,,True,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,missing_journal_year_cell,journal_year,Brain and Spine|2018,,2018,Brain and Spine,,cell_count,count,0,,,,0.0,,,,,,,,,,,,True,
