freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,model_role,predictor_set,sensitivity,algorithm,calibration_method,training_years,validation_year,population,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,comparator,difference_direction,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,roc_auc,0.7207321624118291,0.6948358165716707,0.7457890301401312,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,pr_auc,0.46812922344132274,0.42410414468859386,0.5141670600449136,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,brier_score,0.1678515738549918,0.15941716186288665,0.1761365350155702,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_slope,1.2653744624882188,1.089787327506159,1.4583521548346756,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_in_the_large,-0.1041015268191118,-0.21401880449913518,-0.005711665751941285,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,roc_auc,0.7059547801735302,0.682652120806191,0.7293185185502779,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,pr_auc,0.47825680554203953,0.43877822119852394,0.5193783710456269,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,brier_score,0.16618017468918067,0.1586410421763781,0.17413217069458437,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,calibration_slope,1.2524418144282619,1.092801497286035,1.4247975123117105,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced,primary,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,calibration_in_the_large,-0.1402805089712798,-0.23522806562276904,-0.044327243811115,1000,1000,42,,,separate held-out-year evaluation
