freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,predictor,feature_group,source_file,source_field,actual_measurement_time,conceptual_preacceptance_availability,leakage_risk,reduced_model_inclusion,expanded_model_inclusion,model_scope,transformation,missing_data_rule,exclusion_reason,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,n_authors,team/collaboration,data/features.parquet,n_authors,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,n_institutions,team/collaboration,data/features.parquet,n_institutions,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,n_countries,team/collaboration,data/features.parquet,n_countries,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_international,team/collaboration,data/features.parquet,is_international,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,has_korea,country indicator,data/features.parquet,has_korea,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,has_usa,country indicator,data/features.parquet,has_usa,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,title_n_words,document/text structure,data/features.parquet,title_n_words,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,title_n_chars,document/text structure,data/features.parquet,title_n_chars,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,title_has_colon,document/text structure,data/features.parquet,title_has_colon,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,title_has_question,document/text structure,data/features.parquet,title_has_question,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
