freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,predictor_set,cv_scheme,operating_point,target_flagged_per_100,training_probability_cutoff,training_actual_flagged_per_100,validation_year,n,events,non_events,metric,numerator,denominator,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2022,2074,529,1545,sensitivity,160,529,0.30245746691871456,0.26198706054857157,0.34240552895934706,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2022,2074,529,1545,specificity,1420,1545,0.919093851132686,0.9051546706336379,0.9328220168881506,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2022,2074,529,1545,positive_predictive_value,160,285,0.5614035087719298,0.5034779014589328,0.6174400252525253,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2022,2074,529,1545,negative_predictive_value,1420,1789,0.7937395192845165,0.7751882520293374,0.8121257762736515,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2022,2074,529,1545,manuscripts_flagged_per_100,285,2074,13.741562198649952,12.197444551591127,15.23625843780135,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2023,2300,572,1728,sensitivity,179,572,0.3129370629370629,0.27238626964433416,0.34921274961597537,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2023,2300,572,1728,specificity,1573,1728,0.9103009259259259,0.8968065829233575,0.9236072220626715,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2023,2300,572,1728,positive_predictive_value,179,334,0.5359281437125748,0.47999059561128526,0.5856470431139523,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2023,2300,572,1728,negative_predictive_value,1573,1966,0.8001017293997965,0.78061537625155,0.8164477246397508,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.40959907361937153,10.005602240896359,2023,2300,572,1728,manuscripts_flagged_per_100,334,2300,14.521739130434783,13.043478260869565,15.914130434782606,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.3078679913212288,25.030812324929975,2022,2074,529,1545,sensitivity,282,529,0.5330812854442344,0.49095604371448565,0.5782184831078527,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
